device_id,date,hour,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,absolute_humidity_count,absolute_humidity_mean,absolute_humidity_std,absolute_humidity_min,absolute_humidity_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P3,2025-09-06,11,120,33.09675158333333,0.12501911644074823,32.89191,33.32219,120,14.800666666666666,0.053777214464105466,14.69,14.91,120,467.5416666666667,1.96565396705709,462,474
P3,2025-09-06,12,120,33.573198833333336,0.15774923439297217,33.33254,33.84758,120,14.976416666666667,0.06433624686803097,14.84,15.11,120,463.725,3.0152622974940595,454,473
P3,2025-09-06,13,120,34.028283333333334,0.0934084901520878,33.81848,34.14797,120,14.948833333333333,0.1246182967623743,14.69,15.12,120,457.71666666666664,3.2750221843711773,443,466
P3,2025-09-06,14,120,34.09201158333333,0.023362285163489094,34.02805,34.14074,120,14.623666666666667,0.06619214878083356,14.5,14.78,120,466.825,4.123436805922501,458,478
P3,2025-09-06,15,127,34.14890377952756,0.03331321261614392,34.08527,34.24191,127,14.697874015748033,0.06314043206005242,14.53,14.82,127,473.748031496063,3.4109266625673316,460,484
P3,2025-09-06,16,96,34.062978854166666,0.04215435043715475,33.95695,34.16555,96,14.8309375,0.04599949942519241,14.71,14.92,96,477.7083333333333,2.546066798092874,468,482
P3,2025-09-06,17,84,33.70667654761905,0.1364246691952963,33.55695,34.00344,84,14.822380952380952,0.03247312318214127,14.76,14.92,84,481.5595238095238,2.9994023118517963,475,493
P3,2025-09-06,18,42,33.55999238095238,0.022701098803269665,33.52687,33.60266,42,14.790238095238093,0.03523358259707478,14.71,14.85,42,481.35714285714283,1.164964745021429,479,485
P3,2025-09-06,19,24,33.46107958333334,0.03279176573194726,33.41164,33.52258,24,14.647916666666667,0.04232166334639684,14.58,14.72,24,482.2083333333333,2.3215281074376795,478,486
P3,2025-09-06,20,19,33.36744,0.060050249051198414,33.27102,33.44328,19,14.462105263157893,0.107681575199413,14.3,14.59,19,480.2631578947368,1.880960312156111,475,483
P3,2025-09-06,21,15,33.260001333333335,0.01752974161111042,33.21926,33.2841,15,14.275333333333332,0.05890266385761981,14.19,14.36,15,479.6,1.992844341996779,475,482
P3,2025-09-06,22,12,33.198571666666666,0.015359736523148633,33.18254,33.22668,12,14.19,0.022563042992709788,14.14,14.22,12,467.8333333333333,26.260351494335715,424,486
P3,2025-09-06,23,12,33.164389166666666,0.026963505456733268,33.12648,33.20891,12,14.200833333333334,0.018319554050414518,14.17,14.23,12,427.9166666666667,1.7298624923456263,425,430
P3,2025-09-07,0,7,33.17695857142857,0.027330441775043506,33.14328,33.20734,7,14.254285714285714,0.009759000729485013,14.24,14.27,7,431.0,3.2659863237108993,428,438
P3,2025-09-07,1,9,33.15554222222222,0.018304058824327275,33.13371,33.1841,9,14.261111111111111,0.01964971020425264,14.23,14.3,9,431.44444444444446,4.419024527854285,422,439
P3,2025-09-07,3,72,33.045156666666664,0.07731129509519187,32.89699,33.18156,72,14.328611111111112,0.06518242127919571,14.21,14.44,72,439.94444444444446,3.7147929970530704,434,449
P3,2025-09-07,4,120,32.91672558333333,0.03202142129115183,32.80109,32.98528,120,14.3125,0.04728334046695772,14.2,14.42,120,447.7916666666667,2.8429356153745657,434,454
P3,2025-09-07,5,120,32.95538425,0.03170068065602131,32.90149,33.04172,120,14.415,0.025536265199440706,14.36,14.47,120,451.7416666666667,2.7668379346941907,440,460
P3,2025-09-07,6,121,32.90583595041323,0.050440531331104356,32.78723,33.01398,121,14.481652892561984,0.026055936861491637,14.42,14.54,121,454.6363636363636,2.4117766618546055,447,468
P3,2025-09-07,7,120,32.94141316666666,0.20258713152732932,32.70403,33.29934,120,14.480416666666667,0.0270510203704271,14.42,14.55,120,451.65833333333336,2.6710267227232314,444,458
