device_id,date,hour,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,humidity_count,humidity_mean,humidity_std,humidity_min,humidity_max,pressure_count,pressure_mean,pressure_std,pressure_min,pressure_max,gas_resistance_count,gas_resistance_mean,gas_resistance_std,gas_resistance_min,gas_resistance_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,2025-09-18,22,119,27.83563025210084,0.1120505232251073,27.65,28.05,119,61.81268907563025,0.3456575592540689,61.13,62.47,119,1016.951512605042,0.13796731776750884,1016.69,1017.14,119,171649.41176470587,1307.757087611976,168851,174479,0,,,,
P1,2025-09-18,23,119,28.138823529411763,0.06295245004842379,28.02,28.24,119,60.716638655462184,0.34068295642454227,60.11,61.41,119,1016.4780672268907,0.12760025842721662,1016.18,1016.69,119,175024.23529411765,1134.6558554333308,172859,177061,0,,,,
P1,2025-09-19,0,120,28.3125,0.041933320418789825,28.24,28.39,120,59.830749999999995,0.2376748803291839,59.47,60.44,120,1015.9599999999999,0.09863778061532494,1015.8,1016.16,120,174999.55,1219.0560534054566,171443,177061,0,,,,
P1,2025-09-19,1,119,28.426050420168064,0.025618401999510567,28.38,28.46,119,59.83529411764705,0.2103903697343756,59.24,60.43,119,1015.7217647058824,0.13467252849126424,1015.52,1015.95,119,171567.1344537815,873.6676822780926,169021,173936,0,,,,
P1,2025-09-19,2,119,28.49235294117647,0.01985992824132781,28.45,28.54,119,60.51747899159664,0.23211707481207236,59.99,61.06,119,1015.3684033613445,0.05987250852215459,1015.28,1015.52,119,171023.26890756303,1982.8777824054575,167668,174116,0,,,,
P1,2025-09-19,3,119,28.576806722689074,0.024108960747422505,28.52,28.61,119,60.72428571428571,0.24194680543168545,59.94,61.3,119,1015.3057142857143,0.047595958890038606,1015.21,1015.39,119,169552.48739495798,1828.4688642554709,166999,173936,0,,,,
P1,2025-09-19,4,120,28.6215,0.026271049983339182,28.57,28.67,120,61.12258333333333,0.2518219186478482,60.49,61.71,120,1015.2341666666667,0.026807227588407787,1015.18,1015.28,120,166909.00833333333,1359.772048962633,163096,169706,0,,,,
P1,2025-09-19,5,119,28.696554621848737,0.02832729338449867,28.65,28.75,119,61.84974789915966,0.3248584103175165,60.84,62.6,119,1015.1857983193278,0.048894486852914545,1015.1,1015.29,119,160320.19327731093,1753.2341073595405,156835,165187,0,,,,
P1,2025-09-19,6,119,28.776806722689077,0.05179707427620826,28.72,28.92,119,62.52697478991597,0.3289648753128198,61.54,63.01,119,1015.1605042016807,0.05628090472294715,1015.08,1015.28,119,160661.10084033615,962.6366457698334,158467,163415,0,,,,
P1,2025-09-19,7,119,28.950000000000003,0.03005644407624506,28.9,29.03,119,62.312605042016806,0.30196380461306355,61.57,62.98,119,1015.5593277310924,0.10184510582452025,1015.26,1015.67,119,163721.8487394958,1229.4713045820706,160134,166171,0,,,,
P1,2025-09-19,8,119,28.859915966386556,0.0756608825595737,28.76,28.98,119,59.18949579831933,1.2724844567926257,57.8,62.32,119,1015.4814285714285,0.11844533684699889,1015.3,1015.63,119,169309.99159663866,3377.4037855189154,162464,173936,0,,,,
P1,2025-09-19,9,120,26.17683333333333,1.8629045647501512,24.18,28.79,120,61.144,1.8078681442214588,57.68,64.6,120,1015.1020833333333,0.13438872397514143,1014.85,1015.32,120,191871.23333333334,18141.926565040343,164862,211715,0,,,,
P1,2025-09-19,10,119,23.975882352941177,0.27239182821034114,23.63,24.65,119,63.57731092436975,1.762242262669148,61.77,68.31,119,1014.570756302521,0.15878863290141726,1014.3,1014.89,119,209296.59663865546,7607.405821135469,191524,217878,0,,,,
P1,2025-09-19,11,119,24.049243697478992,0.384606688078908,23.51,24.67,119,65.9483193277311,1.6352511439975503,63.5,68.57,119,1014.0376470588235,0.22810087674111168,1013.61,1014.32,119,197812.72268907563,7712.210477959299,185171,212125,0,,,,
P1,2025-09-19,12,119,24.099915966386554,0.3459193003722583,23.45,24.61,119,67.14798319327731,1.75722893361647,64.43,69.81,119,1013.0690756302521,0.2911869095021894,1012.61,1013.61,119,195629.79831932773,7347.06737018458,185171,209560,0,,,,
P1,2025-09-19,13,120,24.033333333333335,0.35797594711304537,23.42,24.61,120,67.31708333333333,1.883297838712651,63.41,71.0,120,1012.1394166666666,0.2551693977902509,1011.79,1012.65,120,190311.31666666668,7456.595890124888,174843,207057,0,,,,
P1,2025-09-19,14,119,24.108319327731092,0.3757169853730988,23.51,24.63,119,67.96991596638655,1.8126969773962718,65.59,70.54,119,1011.4973109243697,0.12569601128335697,1011.24,1011.78,119,183133.80672268907,7205.445856277814,171971,198688,0,,,,
P1,2025-09-19,15,119,24.036806722689075,0.31267011037277626,23.49,24.56,119,68.25714285714287,1.8232514924833143,65.93,70.98,119,1011.2778991596639,0.05506350647250683,1011.18,1011.39,119,177692.64705882352,7702.188244631074,162938,190307,0,,,,
P1,2025-09-19,16,119,24.034117647058824,0.3747098578464384,23.41,24.61,119,69.76235294117646,1.7907671426298397,66.97,73.1,119,1011.4280672268908,0.048959985580147775,1011.32,1011.52,119,166664.91596638656,8652.754693708153,152550,179336,0,,,,
P1,2025-09-19,17,120,24.023333333333333,0.3304957654500136,23.53,24.56,120,70.59025,1.7217220529839026,68.47,73.71,120,1011.1963333333333,0.12964679447075533,1011.0,1011.44,120,167569.55833333332,6102.389575763231,157277,178381,0,,,,
P1,2025-09-19,18,119,24.13201680672269,0.31241155991094044,23.54,24.6,119,70.79142857142857,1.8119734937047587,67.73,73.5,119,1011.443781512605,0.27687723399771463,1011.01,1011.8,119,168745.57142857142,6209.442764883428,159221,180108,0,,,,
P1,2025-09-19,19,119,24.16218487394958,0.3198467844640239,23.62,24.58,119,72.03689075630251,1.9984959377963272,69.25,74.88,119,1011.2394117647059,0.15493188288711565,1011.07,1011.58,119,166233.73109243697,7598.805880428315,155093,180496,0,,,,
P1,2025-09-19,20,119,24.13310924369748,0.332796950104078,23.6,24.56,119,72.68983193277312,1.9110446088298838,69.73,75.76,119,1011.3727731092437,0.0801685128786979,1011.21,1011.48,119,161572.40336134454,8239.634580632905,147059,177625,0,,,,
P1,2025-09-19,21,120,25.639833333333335,1.1035427924090084,23.61,26.95,120,68.09958333333333,1.864693362870969,65.95,74.66,120,1011.1936666666667,0.0901626292867208,1011.06,1011.44,120,154367.51666666666,8356.133935777987,141709,169192,0,,,,
P1,2025-09-19,22,119,27.43252100840336,0.24372538897881652,26.96,27.76,119,67.46537815126051,0.5351220198503864,66.78,68.61,119,1010.8173109243697,0.1236910960924561,1010.66,1011.13,119,141445.42857142858,753.2642250472816,139933,142796,0,,,,
P1,2025-09-19,23,119,28.00201680672269,0.12931094984199332,27.76,28.21,119,66.90268907563025,0.19970612935008708,66.43,67.43,119,1010.7134453781512,0.08556330766318486,1010.57,1010.84,119,141499.63025210085,527.2910923068932,140167,142918,0,,,,
P1,2025-09-20,0,119,28.34420168067227,0.07791233446353929,28.21,28.48,119,66.55924369747899,0.290254592114986,65.94,67.2,119,1010.6908403361346,0.08717389431913643,1010.57,1010.83,119,141680.69747899158,653.6892507292795,140402,143530,0,,,,
P1,2025-09-20,1,120,28.565416666666668,0.05715812996178295,28.47,28.66,120,65.16866666666667,0.44580761071375447,64.33,66.32,120,1010.6853333333333,0.1280226695612067,1010.44,1010.85,120,145285.39166666666,1388.5024173386012,142070,147577,0,,,,
P1,2025-09-20,2,119,28.746638655462185,0.05032567345149545,28.66,28.82,119,63.84109243697479,0.3426610469223211,63.11,64.61,119,1010.4828571428571,0.07824497446532187,1010.38,1010.65,119,149708.05042016806,1270.5922071059176,146673,152134,0,,,,
P1,2025-09-20,3,119,28.860588235294117,0.015420332035327312,28.82,28.89,119,66.11991596638656,0.7886606279629139,64.38,67.11,119,1010.7863865546219,0.12933160042518888,1010.59,1010.98,119,149218.20168067227,868.166581490846,146288,151037,0,,,,
P1,2025-09-20,4,119,28.948067226890757,0.044077691635020906,28.88,29.03,119,64.39100840336134,0.7202970137827783,62.81,66.14,119,1011.2057983193278,0.13061455650140547,1010.99,1011.47,119,154171.67226890757,1506.3906526734065,149955,156982,0,,,,
P1,2025-09-20,5,119,29.055378151260506,0.03233274868042131,29.0,29.12,119,62.64058823529411,0.4035988403454763,61.71,63.51,119,1011.8260504201681,0.2218841447861753,1011.48,1012.17,119,158053.32773109243,1051.2050640086013,155669,159981,0,,,,
